Feature Number,gini,fisher,f_ratio,pearson,spearman,p_value,F1 Score Decision Tree,F1 Score Neural Network,F1 Score Random Forest,F1 Score SVM,F1 Score Logistic Regression,F1 Score XGBoost
1,0.43677929271073973,0.04960575831091478,0.024447402662873374,0.15447976846910244,0.08700746519046758,9.179333454481068e-07,0.6957388079787076,0.6167436533689635,0.7472077922077922,0.6138519146531016,0.7061201501877347,0.8017047817047817
2,0.4348332476087154,0.04987365585369169,0.024557580269908053,-0.15481916379810745,-0.0872947183335812,8.681970681944172e-07,0.7042605176527438,0.6166875217240181,0.7648562221988722,0.6138519146531016,0.7001935483870967,0.810223210063369
3,0.43677929271073973,0.04971893067877752,0.024491956181070106,-0.15461704898266598,-0.08766512370233298,8.974944119926672e-07,0.6984701311316173,0.5830205278592375,0.7714267834793492,0.6138519146531016,0.7061201501877347,0.8044571283612381
4,0.4356955227399662,0.04940708467815862,0.024347088843325884,0.15417007620414597,0.08464140640640014,9.656980419919329e-07,0.7042605176527438,0.5830205278592375,0.7843201754385964,0.6138519146531016,0.7061201501877347,0.7954858934169279
5,0.43440372286936074,0.05175685104077281,0.025410880394410165,-0.15742043700649788,-0.0936294060685605,5.642434812839623e-07,0.7070710032880121,0.5830205278592375,0.779913238746555,0.6138519146531016,0.7129128559102675,0.8204814149248085
6,0.4348332476087154,0.04970658929098789,0.02447974318792284,-0.15457935267405926,-0.08659170406227683,9.030628062131765e-07,0.7042605176527438,0.5281426101108737,0.7404043529286248,0.6138519146531016,0.7129128559102675,0.8031228340392761
7,0.43503123703255875,0.05042965535900344,0.024809880729687966,-0.15559324210315328,-0.08934328680157572,7.642683265082171e-07,0.7,0.21670635865682308,0.7376700747859388,0.6138519146531016,0.7061201501877347,0.7883107396893242
8,0.4346844339889005,0.0494392327364544,0.02434432896651342,0.15416151800676808,0.08620618010704538,9.670513398670695e-07,0.69,0.6377901785714286,0.7906491783198939,0.6138519146531016,0.7129128559102675,0.7823989218328841
9,0.4339216753484461,0.0367184455828376,0.018304661323037246,0.13407319491515796,0.05162997298294338,2.102835170072942e-05,0.6984701311316173,0.1344015444015444,0.7670802415875755,0.6138519146531016,0.7061201501877347,0.7838736681887366
10,0.4348332476087154,0.04978122351115903,0.024516925788389484,-0.15469389690154872,-0.08694699084454892,8.86244717725346e-07,0.7042605176527438,0.5830205278592375,0.7539193023011453,0.6138519146531016,0.699234702812511,0.78970680034049
11,0.44645457027364627,0.03717704358436763,0.018198470572005524,-0.13369073282593658,-0.06264386326642048,2.2209232197224498e-05,0.6854871973120147,0.4313973143957391,0.7562467644521138,0.6138519146531016,0.7061201501877347,0.7794485954790504
12,0.4347604541449028,0.04951869944910153,0.02439423946476078,0.15431563429112982,0.08626665445296404,9.429579956251935e-07,0.69,0.5830205278592375,0.7539193023011453,0.6138519146531016,0.7061201501877347,0.7912681912681913
13,0.4347604541449028,0.04967854691343203,0.024469070122442246,-0.15454655140597767,-0.08636492526508185,9.079351311145631e-07,0.7,0.19805500146280486,0.7472077922077922,0.6138519146531016,0.7061201501877347,0.8317955671934911
14,0.4346844339889005,0.04968272329941356,0.02446690752214326,-0.15453989819804337,-0.08673533063383362,9.089264819092281e-07,0.6815238095238095,0.3205201958384333,0.7472077922077922,0.6138519146531016,0.7061201501877347,0.8089633504513413
15,0.4346844339889005,0.04970299235876921,0.024481253048022913,0.15458411351005405,0.08685627932567094,9.023577205082118e-07,0.69,0.5830205278592375,0.7539193023011453,0.6138519146531016,0.699234702812511,0.8044571283612381
16,0.43655105995138754,0.048262673050158356,0.023823895858299027,0.1525434942019941,0.08170840062934528,1.2584618336709749e-06,0.6926270022883295,0.1613741775428756,0.7691897233201581,0.6138519146531016,0.7061201501877347,0.7764277643260694
17,0.4347176922644698,0.05161658691116959,0.025362463076711066,-0.15727398347070703,-0.09381082910631647,5.782086881942773e-07,0.7042605176527438,0.6153162055335969,0.7562467644521138,0.6138519146531016,0.7061201501877347,0.8192896558323498
