Feature Number,gini,fisher,f_ratio,pearson,spearman,p_value,F1 Score Decision Tree,F1 Score Neural Network,F1 Score Random Forest,F1 Score SVM,F1 Score Logistic Regression,F1 Score XGBoost
1,0.24712347792770678,0.01106888921614225,0.0054387103295975864,-0.07354784797452421,-0.055922794184100434,0.2093859929161529,0.7683544235838572,0.7430419268510259,0.839629985558055,0.6329170383586084,0.820186875271621,0.842160031533307
2,0.4825556571849674,0.015944326888355988,0.007796154930219169,0.08795340659360618,0.1381860349041902,0.13309801256494652,0.7879444373645978,0.7879444373645978,0.839629985558055,0.6329170383586084,0.820186875271621,0.8232870311371651
3,0.4208851091330743,0.3805839300481582,0.18747103595713843,0.39733377842545825,0.39948326454120453,1.6041390927702073e-12,0.717259249819464,0.8039922045709561,0.8039922045709561,0.6329170383586084,0.7879444373645978,0.8232870311371651
4,0.43747851956060163,0.13520643167444432,0.06652280074177841,0.24974691203919344,0.29995690039906625,1.5222606746579373e-05,0.6667822887925371,0.7683544235838572,0.820186875271621,0.6329170383586084,0.820186875271621,0.8232870311371651
5,0.47074981070849103,0.034303305145155144,0.016964681425714535,0.12915751081424368,0.12821718898441578,0.027060966485023107,0.7879444373645978,0.7772839706830962,0.842160031533307,0.6329170383586084,0.820186875271621,0.8258235122641903
6,0.42657429152762116,0.2526909533147106,0.12662557777901523,0.33525159559684103,0.33424000465975395,3.97474299256005e-09,0.7561529171698663,0.8039922045709561,0.8586296249097319,0.6329170383586084,0.7879444373645978,0.8278473757471547
7,0.4755281175461017,0.0024581580520708552,0.0012108016130727205,0.034775041290726824,0.05924574282402524,0.5532563046005742,0.7369333858888452,0.7842242503259453,0.8586296249097319,0.6329170383586084,0.820186875271621,0.8039922045709561
8,0.4673266399793388,0.07645738001400786,0.03754769827090404,0.19023391058806616,0.21801784979018868,0.0010667889785291936,0.6864823220755425,0.7215011621791282,0.8586296249097319,0.6329170383586084,0.820186875271621,0.8070844829851532
9,0.24928762300376134,0.022874804516297212,0.011138111233670379,0.10495437924246226,0.09450141741834943,0.07284391668056055,0.7482616253802694,0.8258235122641903,0.839629985558055,0.6329170383586084,0.820186875271621,0.8278473757471547
10,0.4874690289664421,0.01204188440206349,0.005946991158026735,-0.07688809750738824,-0.10357874053229038,0.18937509976023123,0.7683544235838572,0.7276087996963345,0.839629985558055,0.6329170383586084,0.820186875271621,0.8606588098113521
