Feature Number,gini,fisher,f_ratio,pearson,spearman,p_value,F1 Score Decision Tree,F1 Score Neural Network,F1 Score Random Forest,F1 Score SVM,F1 Score Logistic Regression,F1 Score XGBoost
1,0.33837638771103945,0.021745453034069658,0.008638497466713009,0.09254452627733041,0.027987752892021142,0.002622710670250568,0.8082305044724308,0.8725789017134364,0.8805431151004477,0.8033843913889673,0.8683538960415987,0.861906461852298
2,0.3779826261439151,0.00045568213974145794,0.00017528426187245525,-0.013238339162917424,0.0647628176633575,0.667559075248931,0.8159473024749637,0.8737127712379422,0.8855220185791023,0.8033843913889673,0.8777571891814845,0.8672985781990521
3,0.42844657507682177,0.06839795955886646,0.028710203470673632,-0.16705975773353718,-0.172409033748991,4.8099460584772965e-08,0.8204230296647358,0.8691511051700624,0.9000012309964917,0.8033843913889673,0.8729036724275057,0.8627607628199567
4,0.386466410566848,0.019682591529782634,0.008274831232908588,0.09059205023122233,0.08625388379516581,0.003228835055832974,0.8172344701643485,0.8672985781990521,0.895410631858551,0.8033843913889673,0.8683538960415987,0.8478700099760742
5,0.32705297329057637,0.0005685899102089251,0.00022805539651483907,-0.015099776435601602,-0.04920894652416511,0.6242055299493972,0.8119341372022839,0.8645907227013848,0.8911550877537587,0.8033843913889673,0.8683538960415987,0.8573781343525696
6,0.41189430138351024,0.08246784528743271,0.034450665545535594,0.18249203700452274,0.17984698312998443,2.3629547877260226e-09,0.8258309585117671,0.8732005073670168,0.8900996658924119,0.8033843913889673,0.8729036724275057,0.8623497541083979
7,0.43238263060233084,0.0002599910816548718,0.0001071790504816198,-0.010352135730263558,-0.05931929187744463,0.7369797151637935,0.8168451773079134,0.8813359949210325,0.8763943831055604,0.8033843913889673,0.8683538960415987,0.861906461852298
8,0.3625996570637683,0.03718825848325127,0.014380913462265603,-0.11906731829432085,-0.21504230698927024,0.00010592161681094834,0.820900115658551,0.8759821867940275,0.8809538464243948,0.8033843913889673,0.8592651574234152,0.8623497541083979
9,0.4667153703125072,0.026954247660184196,0.011885370308342967,0.10837788096367751,0.07825644264657558,0.0004212266193123259,0.8164164157286192,0.8461467534622974,0.8862559241706162,0.8033843913889673,0.8729036724275057,0.8623497541083979
10,0.316815176557336,0.013267416688407677,0.005265465572593645,-0.07237323923065808,-0.06290662144615382,0.018721278364047526,0.8172344701643485,0.8782763829094461,0.8809538464243948,0.8033843913889673,0.8729036724275057,0.8718428745147152
11,0.42821752121562806,0.07384711054092465,0.03125310230278809,-0.17408608758086058,-0.17665458892663768,1.2610792672546416e-08,0.8164164157286192,0.8725789017134364,0.8805431151004477,0.8033843913889673,0.8683538960415987,0.8718428745147152
12,0.3979860298902103,0.2531310364672944,0.09774713775933032,0.2984013071910631,0.3627218040610812,3.8659392896380626e-23,0.826237732317764,0.8645907227013848,0.8896947554645155,0.8033843913889673,0.8729036724275057,0.8569025232238779
13,0.4378839578921018,0.00033724320284001733,0.00013913848349865764,-0.011794921972240427,0.03177913239950096,0.7019665260118284,0.7935888975543424,0.8600309683246727,0.895410631858551,0.8033843913889673,0.8729036724275057,0.861906461852298
14,0.3512128963073805,0.004548520610396801,0.0018514265235412151,-0.04298837198377721,-0.037525441965525055,0.16292994818946016,0.8442631020942001,0.8598047555393526,0.9003222357336674,0.8033843913889673,0.8683538960415987,0.8627607628199567
15,0.41512341458659385,0.022484444156611768,0.009584504522037223,-0.09743467685739575,-0.1021434499949163,0.0015320528146643608,0.802047496254188,0.8732005073670168,0.8809538464243948,0.8033843913889673,0.8729036724275057,0.8718428745147152
16,0.35780002430741065,0.04706966411535736,0.01845093596182782,-0.1345981986907266,-0.17215890801759479,1.1511245349708525e-05,0.8074526222980627,0.8582287076300545,0.8809538464243948,0.8033843913889673,0.8729036724275057,0.866886258729065
17,0.33492463291016983,0.1415745644080376,0.05655938289473812,-0.23136899312317444,-0.24475461042730814,2.7490962809832664e-14,0.8175851140103609,0.8631403018403576,0.8904775387104432,0.8033843913889673,0.8729036724275057,0.8664423550089527
18,0.45228778075796977,0.006723647831646257,0.0028005279087218587,0.05284637809721057,0.10725786297636043,0.08622524936675206,0.8164164157286192,0.8509107520127905,0.8714301541383465,0.8033843913889673,0.8729036724275057,0.866886258729065
19,0.4401933092251308,0.00016549688736438342,6.922511844677535e-05,-0.008319741076939995,-0.05737752633107909,0.7872249856671888,0.8213374303421695,0.9006198627316929,0.9000012309964917,0.8033843913889673,0.8634891296443579,0.861906461852298
20,0.3633336685496392,0.09419688066570056,0.03801706507948924,0.1913758744345943,0.20599170431698063,3.6884076909856706e-10,0.8114738059563695,0.8686474802618542,0.8813359949210325,0.8033843913889673,0.8729036724275057,0.8623497541083979
21,0.316815176557336,0.023557282184348584,0.009260973955208439,-0.0957914058465835,-0.05382969029890615,0.0018403548986952476,0.8119341372022839,0.8589506029017129,0.8809538464243948,0.8033843913889673,0.8683538960415987,0.8478700099760742
22,0.3548438432012703,6.954616290885482e-05,2.9933546122632674e-05,0.00547110564600236,0.018285507416282862,0.8591185315919861,0.8401440166219413,0.8722255377978907,0.8862559241706162,0.8033843913889673,0.8729036724275057,0.8623497541083979
23,0.34337674492377673,0.001556370074563226,0.0006438813076347621,0.025366548984787754,-0.014961468091148648,0.410462175523749,0.8269397235482914,0.9052132701421801,0.8904775387104432,0.8033843913889673,0.8729036724275057,0.8582287076300545
24,0.315643042854653,0.005069063381066076,0.0021278217633923274,0.04607931179700234,0.05723271669711285,0.13472886536475476,0.8213374303421695,0.8600309683246727,0.8759821867940275,0.8033843913889673,0.8729036724275057,0.8718428745147152
25,0.331070228911209,0.06520680460140617,0.025757645541289984,-0.15846399753172086,-0.13353422928514416,2.295618023384546e-07,0.8172344701643485,0.8900996658924119,0.8855220185791023,0.8033843913889673,0.8729036724275057,0.861906461852298
26,0.4378626116386739,0.060004237198605995,0.02460793038552448,-0.1549739704978656,-0.15497921962432687,4.2302234822661184e-07,0.8450228423374652,0.8784974548007723,0.89082911532735,0.8033843913889673,0.8683538960415987,0.8528566337020804
27,0.3422151469846866,0.126381349064727,0.05383469415288781,0.22601895780777076,0.23356477507537118,1.0950265508086195e-13,0.820900115658551,0.9049187562350465,0.8904775387104432,0.8033843913889673,0.8729036724275057,0.861906461852298
28,0.43157261560955096,0.08983698126639252,0.03516856525796521,-0.18431978478942496,-0.20737397809574934,1.62445298369342e-09,0.8213374303421695,0.8556611894694024,0.8911550877537587,0.8033843913889673,0.8683538960415987,0.8578199052132701
29,0.2745713214124967,0.0021397600610013113,0.0007854692812656711,-0.028015228186252596,-0.015126024493383015,0.363320729827265,0.8249016629082205,0.8734700178060875,0.8763943831055604,0.8033843913889673,0.8729036724275057,0.8714301541383465
30,0.2665666295388728,0.012982226301058712,0.005176698107218565,0.07176378288147921,0.08539819050354712,0.01974358781890457,0.8217358660696593,0.8767772511848341,0.8809538464243948,0.8033843913889673,0.8732005073670168,0.8614300135165193
31,0.46318122805518896,0.011668719834153006,0.005118787584613352,-0.07136330319393282,-0.08057997904612484,0.020441564016181413,0.8311181889080983,0.8638079523571663,0.8809538464243948,0.7989837990571634,0.8638079523571663,0.8714301541383465
32,0.36232539148537285,0.2237814843579695,0.08892237281875193,-0.28576360408100654,-0.32026625228461447,2.8264315185125954e-21,0.7980600672882121,0.8714301541383465,0.8809538464243948,0.8033843913889673,0.8777571891814845,0.8813359949210325
33,0.2271015817681768,0.0035213370319618605,0.0013692873490711796,-0.03697852631632817,-0.005496183848669747,0.23010930294583073,0.8266070614379716,0.8805431151004477,0.89082911532735,0.8033843913889673,0.8589506029017129,0.8718428745147152
34,0.3942971470503749,0.01987426310312254,0.0076161270181477735,0.08693998015100932,0.11398492869970137,0.00471507140305186,0.8352455012949147,0.8554711926464006,0.895410631858551,0.8033843913889673,0.8729036724275057,0.8805431151004477
35,0.4205734594503336,0.045258412186329554,0.017913917007116337,0.132659838519678,0.16809107375436122,1.5398867594330272e-05,0.7935888975543424,0.8686474802618542,0.8714301541383465,0.8033843913889673,0.8729036724275057,0.8759821867940275
36,0.3372217865685213,0.004638417215064328,0.0019098971313650244,-0.04366068954201139,-0.01964145217069405,0.15644575731570198,0.8199052132701422,0.8830673807758724,0.89082911532735,0.8033843913889673,0.8729036724275057,0.8578199052132701
37,0.4099,0.20470952239846518,0.08066502254533757,0.27321030007639435,0.2953984887789569,1.624814105264395e-19,0.8168451773079134,0.8774579738716403,0.895410631858551,0.8033843913889673,0.8777571891814845,0.861906461852298
38,0.33659253404871625,0.02619150024009497,0.010255482343306003,-0.10075389535099413,-0.1172299809517631,0.0010490675850611663,0.8253859023480427,0.8734700178060875,0.8813359949210325,0.8033843913889673,0.8729036724275057,0.8573781343525696
39,0.3896815967345544,0.19856255475589477,0.08124119997954816,0.2741112829798359,0.2972546849961606,1.2232734053605234e-19,0.8164164157286192,0.9003222357336674,0.8714301541383465,0.8033843913889673,0.8729036724275057,0.8714301541383465
40,0.41925254076413,0.19795491133880275,0.08104620831179782,-0.2738065846156227,-0.28905319390879974,1.3466869396642539e-19,0.8164164157286192,0.8465208490569488,0.8855220185791023,0.8033843913889673,0.8729036724275057,0.8672985781990521
41,0.43016372039244116,0.09952342259236197,0.03976360799643125,0.1955580493626059,0.19131327323767508,1.4909728633728124e-10,0.820900115658551,0.8732005073670168,0.89082911532735,0.8033843913889673,0.8729036724275057,0.866886258729065
42,0.4144829907169503,0.01194749914340776,0.004877937681171463,-0.06967247538913199,-0.07667670118512566,0.023630576452230122,0.8164164157286192,0.8767772511848341,0.8805431151004477,0.8033843913889673,0.8729036724275057,0.8537017019672789
43,0.40884952871063124,0.15920006282628116,0.06488843800922317,-0.24684930378140257,-0.25953835760404365,4.1345423331621685e-16,0.8307407234820554,0.8876397380702579,0.8851137099798834,0.8033843913889673,0.8729036724275057,0.8532959878420228
